|ID|country|t2m|tp|lnd|yld|agr|gdp
0|0|Albania|13.081852|0.00016150351|43.3321167883212|4949.8|19.5651578123229|12776220507.0162
1|1|Austria|7.012732|0.00015072305|32.9180804653417|5846.8|1.25472121594195|430190979705.962
2|2|Belarus|7.610638|8.216703e-05|42.9317720346167|3007.8|6.80912226763989|75527984234.2342
3|3|Belgium|9.504938|9.881297e-05|44.1380449141347|9212.5|0.681174913459581|521791015247.06
4|4|Bosnia and Herzegovina|10.862988|0.0001455921|42.20703125|4026.9|6.84139112671187|18178503835.4491
5|5|Bulgaria|12.134016|7.921562e-05|46.0114222549742|4561.0|4.51605399783225|55810138436.4821
6|6|Croatia|12.304467|0.00014279093|28.0055035379887|5444.9|3.45344221262418|59032066091.7147
7|7|Cyprus|19.951815|3.3177883e-05|11.7781385281385|1688.0|2.03633566673278|23961144906.3621
8|8|Czechia|8.266283|9.432515e-05|45.5969955969956|5309.3|2.36477116624437|211685616592.931
9|9|Denmark|8.519957|8.375038e-05|65.7|6316.6|1.30212758701465|343584391647.927
10|10|Estonia|6.6961713|7.284831e-05|22.1992178513918|3135.6|3.08811099529242|25115753366.1114
11|11|Finland|3.5574272|7.8408695e-05|7.43196551383724|3689.5|2.36735333127774|271362405890.589
12|12|France|10.879335|0.000120528035|52.549232317366|7084.8|1.45863217691004|2811876903329.03
13|13|Germany|8.908625|0.000102851576|47.8588626461821|7318.0|0.942643214114216|3733804649549.03
14|14|Greece|15.606502|8.992424e-05|55.4926299456943|4393.3|3.38260275850521|238907690051.13
15|15|Hungary|11.612335|8.931851e-05|58.0691483486137|4831.5|3.91708552837692|135684315697.713
16|16|Ireland|9.722086|0.00011729237|64.9876614893308|7802.1|1.08291770866774|238340859896.937
17|17|Italy|12.983761|0.00013815182|46.0912085162215|5264.6|2.14458980749233|2141924094298.56
18|18|Latvia|6.915826|7.725158e-05|30.1637552830765|3373.8|3.1736633813955|30204783461.8488
19|19|Lithuania|7.4619613|7.803358e-05|46.1332269644994|3687.8|3.54492086525905|46523420074.4372
20|20|Luxembourg|8.715192|0.00010995548|50.8378456064573|5967.4|0.261907196956465|65203276466.9763
21|21|Moldova|11.066092|7.2372255e-05|74.8479318734793|2851.8|11.5503619107066|9496717702.44839
22|22|Netherlands|9.740199|9.1693415e-05|54.8411991688928|8630.1|1.79086489326427|877172824534.512
23|23|North Macedonia|12.042577|8.405217e-05|49.9603489294211|3381.3|10.0274760854448|10817712138.9451
24|24|Norway|2.5971904|0.0001498179|2.70359004539183|3374.3|1.31530621016246|522761531914.894
25|25|Poland|8.56445|8.598047e-05|47.059207733255|3804.4|3.24619078525218|515764728216.161
26|26|Portugal|15.057362|0.00010064518|40.4027282294018|4336.4|2.09548269898385|226433858005.714
27|27|Romania|10.461903|9.169323e-05|60.4486371342868|3863.2|5.50999686670216|189790228071.757
28|28|Slovak Republic|8.905395|9.878895e-05|39.3736483114291|4490.4|2.22230625719726|98935222174.8603
29|29|Slovenia|10.359755|0.00016353848|30.298411122145|4615.5|1.97122520387357|48415657264.8758
30|30|Spain|13.692149|8.541205e-05|53.4439535395134|4047.1|2.6214953408375|1355579535912.55
31|31|Sweden|3.6592007|8.3979816e-05|7.4534350567843|5123.5|1.46654001874605|586841821796.891
32|32|Switzerland|5.2556496|0.00018938787|38.5889133515538|5945.6|0.662533713556518|706234937370.968
33|33|Ukraine|9.777426|7.206431e-05|71.6805910377684|4030.8|8.69230562102956|190498811460.028
34|34|United Kingdom|8.984253|0.00011275471|71.3024428553714|6631.6|0.63311593584904|2786315215249.95
